# Sacha, Dec 11, 2011: I read the associated explanatory notes for the
# text file and it is the column labelled 'pH' that is the most appropriate
# index to plot over time, rather than 'Fld pH'. 'Fld pH' wasn't collected
# until 1987 and is more patchily available, in general. The sampling
# methods obtained for each of the pH measures is different but, according
# to the notes, shouldn't make a big difference for what we want to do with
# the data.
# Sacha: "According to NADP, the annual averages of acidity in U.S. precipitation range from pH 6.0 in Utah to 4.2 in some areas of the Ohio valley. NADP defines "normal" rain as having a pH of 5 to about 6.7, with anything below that being acidic."
# NATIONAL ATMOSPHERIC DEPOSITION PROGRAM/NTN
# Site ID: 156 Date Range: 1978 to 2011 Report Date: 12/12/2011 2:08:43 AM
# Data retrieved from: http://nadp.sws.uiuc.edu/nadpdata/annualReq.asp?site=Custom156
# Direct link to the data: http://nadp.sws.uiuc.edu/nadpdata/seasRep.asp?action=seasRep.asp&site=156&allSites=False&wholestate=False&custom=True&startyr=1978&endyr=2011&DataType=mg%2FL&reportType=csv&Seas=105&useType=4&useDescription=Research+paper&submit=Get+Data&userid=22341
#
SiteID,Summ.Per.,Year,Crit1,Crit2,Crit3,Crit4,Ca,Mg,K,Na,NH4,NO3,Cl,SO4,pH,Cond.,Fld pH,Fld Cond.,Ratio c/a,Svol ml,Ppt cm,% Ppt F Chem.,Valid Samp (L),Valid Samp (F),Days,Dates,Dates2
AK01,Annual,1993,85,100,87,83,0.03,0.007,0.007,0.053,0.018,0.184,0.089,0.271,5.29,3.59,5.1,4.4,0.96,15635.6,46.12,82,35,24,371,12/29/1992,1/4/1994
AK01,Annual,1994,92,100,93,89,0.021,0.003,0.011,0.03,0.022,0.143,0.045,0.206,5.17,3.81,5.12,4,1.39,23206.8,41.19,80,38,27,364,1/4/1994,1/3/1995
AK01,Annual,1995,83,100,97,99,0.019,0.005,0.009,0.039,0.027,0.12,0.051,0.147,5.25,3.14,5.14,4,1.62,21176.2,32.47,73,32,20,364,1/3/1995,1/2/1996
AK01,Annual,1996,81,100,83,98,0.017,0.004,0.011,0.036,0.019,0.139,0.061,0.131,5.2,3.23,5.05,4,1.55,18665.5,33.85,32,27,12,364,1/2/1996,12/31/1996
AK01,Annual,1997,68,100,82,98,0.028,0.006,0.019,0.04,0.015,0.185,0.07,0.236,5.1,4.38,5.2,4.3,1.31,12274.6,22.73,52,25,15,364,12/31/1996,12/30/1997
AK01,Annual,1998,68,96,81,96,0.07,0.011,0.04,0.046,0.073,0.164,0.081,0.21,5.28,4.04,5.4,5.3,1.79,17792.5,33.14,57,23,16,364,12/30/1997,12/29/1998
AK01,Annual,1999,70,100,90,80,0.032,0.003,0.008,0.006,0.046,0.148,0.022,0.125,5.35,2.89,5.25,2.8,1.67,15072.9,29.18,79,23,18,364,12/29/1998,12/28/1999
AK01,Annual,2000,81,100,79,96,0.021,0.003,0.01,0.008,0.013,0.134,0.028,0.137,5.21,3.77,5.08,4.4,1.52,21145,40.42,72,30,22,372,12/28/1999,1/3/2001
AK01,Annual,2001,94,100,97,94,0.023,0.003,0.007,0.007,0.026,0.142,0.034,0.194,5.15,3.85,5.02,4.4,1.42,21449,34.66,54,31,20,363,1/3/2001,1/1/2002
AK01,Annual,2002,91,100,93,94,0.034,0.005,0.022,0.012,0.085,0.172,0.034,0.237,5.28,3.85,5.13,4.2,1.52,22243.9,36.81,89,32,27,364,1/1/2002,12/31/2002
AK01,Annual,2003,83,100,82,87,0.02,0.003,0.006,0.014,0.035,0.135,0.032,0.16,5.26,3.41,5.15,4,1.48,24700.7,48.75,78,29,21,364,12/31/2002,12/30/2003
AK01,Annual,2004,84,100,80,76,0.032,0.005,0.057,0.019,0.043,0.143,0.05,0.168,5.4,3.13,5.21,3.4,1.48,12021.5,25.8,73,28,21,364,12/30/2003,12/28/2004
AK01,Annual,2005,69,100,84,89,0.039,0.005,0.019,0.022,0.066,0.212,0.045,0.178,5.21,3.99,-9,-9,1.62,17051.9,32.13,0,27,0,371,12/28/2004,1/3/2006
AK01,Annual,2006,82,98,86,94,0.034,0.004,0.01,0.012,0.01,0.125,0.03,0.213,5.19,3.51,-9,-9,1.35,16682.1,30.08,0,31,0,364,1/3/2006,1/2/2007
AK01,Annual,2007,88,100,94,100,0.04,0.005,0.011,0.012,0.019,0.165,0.033,0.23,5.08,4.23,-9,-9,1.5,18404.6,29.11,0,32,0,365,1/2/2007,1/2/2008
AK01,Annual,2008,87,100,96,106,0.027,0.005,0.034,0.012,0.01,0.08,0.029,0.171,5.24,3.21,-9,-9,1.66,20418.9,29.76,0,34,0,363,1/2/2008,12/30/2008
AK01,Annual,2009,85,100,88,101,0.049,0.008,0.009,0.036,0.027,0.146,0.087,0.328,5.07,4.72,-9,-9,1.28,16765.8,27.8,0,29,0,364,12/30/2008,12/29/2009
AK01,Annual,2010,88,100,89,88,0.044,0.006,0.013,0.017,0.076,0.2,0.049,0.193,5.2,3.93,-9,-9,1.66,17895.3,33.48,0,27,0,364,12/29/2009,12/28/2010
AK02,Annual,2004,33,53,56,107,0.02,0.017,0.011,0.168,0.015,0.121,0.316,0.19,5.25,4.29,5.15,4.8,1.11,40334,102.9,48,16,12,371,6/22/2004,1/4/2005
AK02,Annual,2005,53,100,47,96,0.024,0.014,0.009,0.141,0.007,0.091,0.253,0.193,5.28,3.83,-9,-9,1.14,51619.4,167.05,0,25,0,364,1/4/2005,1/3/2006
AK02,Annual,2006,56,100,63,103,0.023,0.006,0.007,0.055,0.009,0.119,0.102,0.196,5.23,3.44,-9,-9,1.2,79384.1,179.31,0,28,0,364,1/3/2006,1/2/2007
AK02,Annual,2007,54,100,55,96,0.022,0.012,0.009,0.122,0.024,0.153,0.231,0.256,5.12,4.54,-9,-9,1.16,52574.3,146.77,0,28,0,363,1/2/2007,12/31/2007
AK02,Annual,2008,12,100,7,101,0.035,0.011,0.007,0.102,0.024,0.121,0.194,0.222,5.28,3.53,-9,-9,1.15,8050.8,175.68,0,5,0,365,12/31/2007,12/30/2008
AK02,Annual,2009,13,100,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-20,0,144.14,0,0,0,364,12/30/2008,12/29/2009
AK02,Annual,2010,45,100,39,96,0.017,0.007,0.01,0.079,0.007,0.096,0.146,0.214,5.16,3.74,-9,-9,1.22,31382.6,121.66,0,15,0,364,12/29/2009,12/28/2010
AK03,Annual,1980,46,54,98,98,0.038,0.011,0.008,0.038,0.016,0.138,0.129,0.327,5.17,4.31,-9,-9,0.98,17965.7,27.65,0,22,0,196,6/17/1980,12/30/1980
AK03,Annual,1981,92,98,96,96,0.1,0.061,0.039,0.125,0.034,0.16,0.13,0.533,5.54,5.53,-9,-9,1.22,26352.8,41.93,0,37,0,364,12/30/1980,12/29/1981
AK03,Annual,1982,72,96,74,82,0.058,0.02,0.084,0.111,0.012,0.121,0.145,0.183,5.38,4.87,-9,-9,1.66,15974.4,35.9,0,30,0,378,12/29/1981,1/11/1983
AK03,Annual,1983,78,100,94,64,0.063,0.019,0.055,0.085,0.021,0.072,0.084,0.368,5.33,4.18,-9,-9,1.39,18168.3,42.46,0,28,0,357,1/11/1983,1/3/1984
AK03,Annual,1984,71,100,80,90,0.044,0.018,0.022,0.04,0.014,0.129,0.062,0.471,5.34,3.22,-9,-9,0.83,19680.3,40.25,0,23,0,365,1/3/1984,1/2/1985
AK03,Annual,1985,54,100,29,71,0.04,0.018,0.013,0.074,0.014,0.079,0.096,0.236,5.32,3.02,-9,-9,1.42,7900.7,47.28,0,16,0,363,1/2/1985,12/31/1985
AK03,Annual,1986,83,100,93,93,0.022,0.006,0.012,0.024,0.033,0.088,0.032,0.244,5.31,3.29,-9,-9,1.3,15715.7,38.01,0,23,0,364,12/31/1985,12/30/1986
AK03,Annual,1987,39,48,69,84,0.023,0.006,0.01,0.095,0.02,0.095,0.07,0.115,5.51,2.32,5.48,2.8,1.73,2158.7,5.54,32,10,2,364,12/30/1986,12/29/1987
AK03,Annual,1988,91,100,64,93,0.04,0.007,0.008,0.077,0.015,0.1,0.076,0.259,5.31,3.76,4.81,7.1,1.3,15810.3,38.82,35,36,14,371,12/29/1987,1/3/1989
AK03,Annual,1989,94,100,97,90,0.026,0.004,0.007,0.033,0.033,0.093,0.221,0.16,5.16,4.32,4.81,7.6,1.08,21001.7,35.54,62,37,19,364,1/3/1989,1/2/1990
AK03,Annual,1990,90,100,98,89,0.023,0.005,0.013,0.022,0.03,0.114,0.069,0.168,5.4,3.02,5.08,6.6,1.17,38296.4,63.92,74,39,28,364,1/2/1990,1/1/1991
AK03,Annual,1991,96,100,84,93,0.054,0.01,0.026,0.065,0.133,0.262,0.1,0.198,5.46,4,5.02,6.1,1.6,19484.8,38.55,80,41,29,364,1/1/1991,12/31/1991
AK03,Annual,1992,96,100,91,95,0.045,0.006,0.007,0.046,0.02,0.14,0.053,0.18,5.59,2.82,5.31,3.9,1.15,23712.6,39.86,87,43,33,364,12/31/1991,12/29/1992
AK03,Annual,1993,81,99,76,97,0.02,0.005,0.006,0.032,0.031,0.147,0.053,0.189,5.45,3.06,5.15,4.7,1.06,19339.3,38.39,57,26,21,371,12/29/1992,1/4/1994
AK03,Annual,1994,88,100,98,89,0.022,0.005,0.015,0.034,0.025,0.173,0.06,0.184,5.14,4.01,5.1,3.9,1.45,19171.3,33.18,54,35,23,364,1/4/1994,1/3/1995
AK03,Annual,1995,92,100,98,99,0.012,0.004,0.008,0.023,0.034,0.084,0.026,0.12,5.3,2.85,5.12,3.4,1.97,19123,28.97,94,33,22,364,1/3/1995,1/2/1996
AK03,Annual,1996,92,100,99,83,0.023,0.004,0.006,0.041,0.019,0.089,0.055,0.114,5.33,2.66,5.33,2.9,1.7,21275.7,37.81,97,33,26,364,1/2/1996,12/31/1996
AK03,Annual,1997,88,100,88,98,0.024,0.005,0.026,0.029,0.053,0.206,0.046,0.17,5.18,4.16,5.08,4.6,1.6,20482.3,34.87,81,33,26,364,12/31/1996,12/30/1997
AK03,Annual,1998,98,100,100,99,0.016,0.003,0.009,0.008,0.023,0.083,0.026,0.11,5.33,2.69,5.25,2.7,1.74,21874.6,32.56,97,32,28,364,12/30/1997,12/29/1998
AK03,Annual,1999,94,100,99,87,0.035,0.004,0.011,0.008,0.029,0.123,0.028,0.106,5.34,2.75,5.19,3.3,1.78,20124.5,34.56,94,38,26,364,12/29/1998,12/28/1999
AK03,Annual,2000,89,100,81,98,0.028,0.003,0.01,0.016,0.024,0.107,0.041,0.166,5.21,3.63,5.17,4,1.59,19604.7,36.38,77,34,22,371,12/28/1999,1/2/2001
AK03,Annual,2001,100,100,100,102,0.031,0.004,0.021,0.009,0.022,0.18,0.041,0.22,5.13,4.28,5.1,4.4,1.32,16269.1,23.65,95,36,28,365,1/2/2001,1/2/2002
AK03,Annual,2002,96,100,100,99,0.042,0.006,0.024,0.012,0.108,0.218,0.041,0.31,5.12,5.28,4.99,6.5,1.56,32421.2,48.29,99,34,32,363,1/2/2002,12/31/2002
AK03,Annual,2003,82,96,86,97,0.037,0.004,0.006,0.008,0.05,0.149,0.018,0.15,5.27,3.31,5.17,3.6,1.79,19290.4,33.97,84,29,22,364,12/31/2002,12/30/2003
AK03,Annual,2004,85,100,76,91,0.033,0.004,0.015,0.014,0.066,0.122,0.033,0.154,5.38,3.11,5.3,3,1.77,13256.2,28.09,67,34,28,365,12/30/2003,12/29/2004
AK03,Annual,2005,93,100,91,101,0.022,0.003,0.012,0.012,0.07,0.137,0.029,0.144,5.25,3.48,-9,-9,1.93,22646.3,36.53,0,32,0,370,12/29/2004,1/3/2006
AK03,Annual,2006,94,100,99,95,0.031,0.005,0.01,0.014,0.017,0.085,0.04,0.177,5.27,3.21,-9,-9,1.48,24103.9,37.28,0,37,0,364,1/3/2006,1/2/2007
AK03,Annual,2007,94,100,94,100,0.021,0.003,0.007,0.008,0.013,0.073,0.024,0.163,5.25,2.9,-9,-9,1.56,16897.2,26.54,0,32,0,365,1/2/2007,1/2/2008
AK03,Annual,2008,92,99,97,95,0.03,0.004,0.026,0.01,0.012,0.083,0.026,0.127,5.3,2.94,-9,-9,1.82,22720.7,36.37,0,36,0,365,1/2/2008,12/30/2008
AK03,Annual,2009,77,100,80,78,0.04,0.005,0.015,0.018,0.01,0.106,0.087,0.288,5.05,4.62,-9,-9,1.28,12543,29.59,0,23,0,364,12/30/2008,12/29/2009
AK03,Annual,2010,89,100,94,79,0.032,0.004,0.018,0.011,0.049,0.145,0.041,0.152,5.22,3.47,-9,-9,1.74,14370.6,28.45,0,29,0,364,12/29/2009,12/28/2010
AK06,Annual,2008,10,13,92,55,0.074,0.008,0.017,0.059,0.004,0.037,0.052,0.048,5.63,2.03,-9,-9,3.24,1503.8,4.34,0,4,0,366,11/4/2008,12/23/2008
AK06,Annual,2009,70,100,58,84,0.149,0.012,0.024,0.041,0.301,0.205,0.081,0.515,5.11,6.96,-9,-9,2.16,11168.7,33.55,0,24,0,364,12/30/2008,12/29/2009
AK06,Annual,2010,77,100,85,80,0.038,0.005,0.011,0.015,0.1,0.126,0.037,0.192,5.29,3.49,-9,-9,1.96,13401.1,29.08,0,30,0,364,12/29/2009,12/28/2010
AK99,Annual,2004,23,28,85,101,0.034,0.005,0.011,0.021,0.129,0.185,0.048,0.217,5.29,4.09,-9,-9,1.75,13842.1,27.31,0,10,0,368,5/12/2004,1/1/2005
AK99,Annual,2005,0,4,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-20,0,0.24,0,0,0,367,1/1/2005,1/1/2006
AL02,Annual,2001,54,58,96,95,0.076,0.032,0.015,0.268,0.094,0.779,0.48,1.112,4.61,15.06,4.58,15,0.98,59456.9,91.92,88,19,16,364,6/5/2001,1/1/2002
AL02,Annual,2002,92,100,96,79,0.07,0.033,0.014,0.268,0.079,0.541,0.484,0.873,4.79,11.33,4.79,11.4,0.96,113016.8,200.53,86,42,38,363,1/1/2002,12/30/2002
AL02,Annual,2003,84,100,86,86,0.07,0.037,0.022,0.301,0.111,0.646,0.541,0.947,4.74,12.34,4.66,12.3,0.98,125240.3,248.62,86,35,34,365,12/30/2002,12/30/2003
AL02,Annual,2004,98,100,99,76,0.075,0.033,0.019,0.275,0.091,0.605,0.483,0.927,4.72,12.23,4.68,12.1,1.01,99171.3,186.8,89,43,39,364,12/30/2003,12/28/2004
AL02,Annual,2005,90,100,91,88,0.07,0.036,0.021,0.292,0.127,0.592,0.525,0.984,4.74,12.52,-9,-9,1.01,108351,191.61,0,38,0,371,12/28/2004,1/3/2006
AL02,Annual,2006,83,100,79,94,0.094,0.053,0.028,0.42,0.173,0.745,0.746,1.28,4.64,15.69,-9,-9,1.01,65367.9,124.52,0,32,0,364,1/3/2006,1/2/2007
AL02,Annual,2007,96,100,98,90,0.076,0.042,0.023,0.329,0.099,0.579,0.592,1.027,4.71,12.49,-9,-9,1,90673.2,148.47,0,40,0,365,1/2/2007,1/2/2008
AL02,Annual,2008,80,100,86,98,0.085,0.043,0.021,0.337,0.07,0.436,0.593,0.698,4.91,9.12,-9,-9,1.02,102538.2,179.22,0,33,0,363,1/2/2008,12/30/2008
AL02,Annual,2009,98,100,100,98,0.081,0.041,0.023,0.342,0.116,0.493,0.599,0.769,4.91,9.57,-9,-9,1.02,132359.1,198.93,0,43,0,364,12/30/2008,12/29/2009
AL02,Annual,2010,2,2,100,98,0.081,0.057,0.084,0.38,0.127,0.83,0.638,1.127,4.71,14.5,-9,-9,0.98,966.7,1.45,0,1,0,370,12/29/2009,1/5/2010
AL10,Annual,1983,34,34,100,100,0.093,0.032,0.032,0.193,0.139,0.459,0.322,0.913,4.88,9.37,-9,-9,1.05,33822.2,50.07,0,16,0,125,8/31/1983,1/3/1984
AL10,Annual,1984,86,100,94,101,0.197,0.044,0.046,0.215,0.2,0.895,0.373,1.5,4.69,14.55,-9,-9,0.99,70855.5,110.62,0,38,0,365,1/3/1984,1/2/1985
AL10,Annual,1985,90,100,96,99,0.19,0.034,0.034,0.165,0.119,0.694,0.3,1.37,4.69,13.29,-9,-9,0.99,59850.7,93.42,0,36,0,362,1/2/1985,12/30/1985
AL10,Annual,1986,92,100,98,98,0.123,0.026,0.036,0.141,0.12,0.725,0.245,1.45,4.66,14.06,-9,-9,0.9,72143.3,110.16,0,36,0,365,12/30/1985,12/30/1986
AL10,Annual,1987,89,100,95,99,0.076,0.03,0.031,0.183,0.163,0.751,0.327,1.348,4.63,13.8,4.61,12.8,0.96,60892.2,95.89,51,32,12,364,12/30/1986,12/29/1987
AL10,Annual,1988,85,100,89,99,0.147,0.024,0.014,0.178,0.06,0.672,0.285,1.241,4.69,12.53,4.54,14,0.92,77367.9,130.35,37,40,23,371,12/29/1987,1/3/1989
AL10,Annual,1989,92,100,87,99,0.099,0.027,0.032,0.179,0.128,0.687,0.305,1.333,4.68,13.15,4.92,9.8,0.93,77553.5,132.38,10,40,4,364,1/3/1989,1/2/1990
AL10,Annual,1990,87,100,85,101,0.06,0.023,0.024,0.169,0.133,0.639,0.282,1.09,4.71,12.06,4.61,14.5,0.97,74746.7,128.72,39,38,20,364,1/2/1990,1/1/1991
AL10,Annual,1991,90,100,98,101,0.067,0.022,0.027,0.167,0.119,0.656,0.282,1.041,4.71,11.95,4.79,12.3,0.97,92917.4,141.66,81,41,30,364,1/1/1991,12/31/1991
AL10,Annual,1992,87,100,84,102,0.077,0.018,0.029,0.12,0.099,0.67,0.209,1.041,4.72,11.45,4.69,11.5,0.94,71121.9,121.67,60,38,23,364,12/31/1991,12/29/1992
AL10,Annual,1993,91,100,84,104,0.082,0.025,0.023,0.172,0.157,0.911,0.29,1.564,4.55,16.25,4.5,15.3,0.92,48635.1,103.84,56,43,25,371,12/29/1992,1/4/1994
AL10,Annual,1994,96,100,98,102,0.064,0.019,0.021,0.149,0.115,0.64,0.253,1.001,4.67,12.05,4.71,11.9,1.03,70146,103.51,83,41,32,363,1/4/1994,1/2/1995
AL10,Annual,1995,94,100,100,100,0.053,0.019,0.016,0.147,0.133,0.641,0.234,0.956,4.68,11.86,4.61,15.5,1.06,104288.2,154.21,83,37,29,365,1/2/1995,1/2/1996
AL10,Annual,1996,98,100,100,100,0.103,0.029,0.024,0.229,0.165,0.753,0.365,1.171,4.66,13.8,4.75,13.3,1.05,94501.9,139.74,96,37,34,364,1/2/1996,12/31/1996
AL10,Annual,1997,92,100,97,100,0.08,0.025,0.056,0.156,0.173,0.717,0.276,1.159,4.67,13.31,4.7,12.4,1.04,79246.9,120.48,92,40,36,364,12/31/1996,12/30/1997
AL10,Annual,1998,81,100,86,97,0.072,0.02,0.022,0.13,0.141,0.693,0.236,1.007,4.72,11.78,4.68,12.8,0.99,50646.6,89.57,85,28,26,364,12/30/1997,12/29/1998
AL10,Annual,1999,98,100,99,101,0.08,0.023,0.016,0.158,0.116,0.67,0.28,1.094,4.66,13.1,4.69,12.4,0.99,72451.9,106.51,97,33,30,364,12/29/1998,12/28/1999
AL10,Annual,2000,81,96,75,101,0.092,0.032,0.034,0.259,0.16,0.811,0.419,1.302,4.63,15.12,4.83,14.4,0.99,39886.3,77.5,65,25,16,371,12/28/1999,1/2/2001
AL10,Annual,2001,75,100,82,100,0.065,0.024,0.019,0.178,0.107,0.598,0.315,0.978,4.71,12.01,4.6,11.5,1,76236,136.62,68,29,22,363,1/2/2001,12/31/2001
AL10,Annual,2002,82,100,93,100,0.062,0.019,0.026,0.14,0.153,0.613,0.253,0.851,4.82,10.57,4.75,10,1.01,87148.5,137.08,84,35,31,364,12/31/2001,12/30/2002
AL10,Annual,2003,73,100,78,101,0.086,0.02,0.036,0.135,0.213,0.685,0.251,0.94,4.83,10.59,4.77,10.9,1.04,85851.8,160.26,78,30,29,365,12/30/2002,12/30/2003
AL10,Annual,2004,69,100,65,100,0.077,0.024,0.026,0.175,0.143,0.69,0.3,0.988,4.72,11.88,4.63,11.5,1.02,56024.5,127.57,59,29,25,364,12/30/2003,12/28/2004
AL10,Annual,2005,78,100,79,100,0.065,0.018,0.018,0.139,0.114,0.534,0.238,0.814,4.79,10.13,-9,-9,1.04,68904.3,160.07,0,32,0,371,12/28/2004,1/3/2006
AL10,Annual,2006,78,100,53,100,0.099,0.032,0.029,0.227,0.252,0.821,0.398,1.28,4.68,14.09,-9,-9,1.04,36950.6,102.53,0,29,0,364,1/3/2006,1/2/2007
AL10,Annual,2007,88,100,93,95,0.107,0.023,0.026,0.148,0.156,0.801,0.256,1.144,4.66,13.05,-9,-9,1.03,42243.7,69.82,0,33,0,363,1/2/2007,12/31/2007
AL10,Annual,2008,89,100,88,101,0.086,0.025,0.023,0.172,0.112,0.527,0.297,0.751,4.87,8.83,-9,-9,1.05,69937,116.7,0,36,0,365,12/31/2007,12/30/2008
AL10,Annual,2009,86,100,87,87,0.077,0.023,0.022,0.162,0.122,0.511,0.273,0.725,4.91,8.41,-9,-9,1.04,76480.4,147.15,0,38,0,364,12/30/2008,12/29/2009
AL10,Annual,2010,80,100,72,100,0.09,0.025,0.021,0.168,0.145,0.614,0.298,0.82,4.83,10.04,-9,-9,1.05,56500.7,115.51,0,33,0,371,12/29/2009,1/4/2011
AL24,Annual,2001,52,60,96,95,0.085,0.058,0.041,0.501,0.144,0.696,0.931,1.007,4.75,14.02,4.73,14,0.98,62467.6,100.16,84,21,16,364,5/29/2001,1/1/2002
AL24,Annual,2002,90,100,90,94,0.081,0.069,0.044,0.619,0.108,0.603,1.103,1.03,4.77,14.59,4.76,15.2,0.98,104458.4,179.19,78,40,35,363,1/1/2002,12/30/2002
AL24,Annual,2003,88,100,90,97,0.077,0.055,0.031,0.465,0.109,0.625,0.841,0.957,4.75,13.43,4.75,13.1,0.99,106685.4,177.56,79,35,33,365,12/30/2002,12/30/2003
AL24,Annual,2004,79,100,63,95,0.086,0.047,0.028,0.392,0.117,0.771,0.7,1.029,4.68,14.29,4.61,14.1,1,75164.2,180.58,58,31,27,364,12/30/2003,12/28/2004
AL24,Annual,2005,94,100,98,94,0.087,0.058,0.048,0.476,0.169,0.628,0.852,1.028,4.79,13.33,-9,-9,1.02,129224.5,204.58,0,40,0,371,12/28/2004,1/3/2006
AL24,Annual,2006,92,100,88,85,0.109,0.088,0.046,0.727,0.203,0.723,1.281,1.213,4.75,15.78,-9,-9,1.02,60258.5,117.91,0,34,0,364,1/3/2006,1/2/2007
AL24,Annual,2007,87,100,86,91,0.077,0.048,0.028,0.391,0.103,0.522,0.714,0.867,4.81,11.13,-9,-9,1,77046.4,145.43,0,37,0,365,1/2/2007,1/2/2008
AL24,Annual,2008,94,100,95,96,0.113,0.06,0.047,0.477,0.154,0.547,0.841,0.893,4.9,11.05,-9,-9,1.05,112783.2,182.61,0,40,0,363,1/2/2008,12/30/2008
AL24,Annual,2009,88,100,89,95,0.101,0.073,0.065,0.609,0.179,0.464,1.07,0.791,5.11,10.07,-9,-9,1.05,121480,209.45,0,39,0,364,12/30/2008,12/29/2009
AL24,Annual,2010,2,2,100,96,0.074,0.044,0.03,0.364,0.133,0.426,0.611,0.562,5.14,7.6,-9,-9,1.08,2070.9,3.18,0,1,0,370,12/29/2009,1/5/2010
AL99,Annual,1984,18,25,81,97,0.064,0.032,0.02,0.187,0.162,0.58,0.303,1.308,4.68,13.16,-9,-9,0.98,16290.5,30.57,0,7,0,92,10/2/1984,1/2/1985
AL99,Annual,1985,61,100,52,97,0.059,0.021,0.018,0.093,0.176,0.668,0.183,1.752,4.48,17.56,-9,-9,0.99,49063.9,144.21,0,26,0,363,1/2/1985,12/31/1985
AL99,Annual,1986,77,100,77,98,0.087,0.026,0.031,0.133,0.162,0.712,0.238,1.76,4.58,16.48,-9,-9,0.89,50310.3,97.46,0,31,0,364,12/31/1985,12/30/1986
AL99,Annual,1987,77,100,80,99,0.079,0.023,0.025,0.122,0.207,0.813,0.233,1.972,4.48,18.3,4.38,18.8,0.93,54666.9,102.28,70,32,25,364,12/30/1986,12/29/1987
AL99,Annual,1988,79,100,81,97,0.083,0.021,0.016,0.133,0.174,0.709,0.227,1.693,4.56,15.28,4.48,16.4,0.93,61748.8,115.67,71,37,31,371,12/29/1987,1/3/1989
AL99,Annual,1989,52,100,43,99,0.07,0.017,0.047,0.097,0.407,0.76,0.184,1.65,4.74,13.45,4.54,13.9,0.98,47437.6,164.69,41,20,18,364,1/3/1989,1/2/1990
AL99,Annual,1990,88,100,93,97,0.063,0.023,0.025,0.149,0.224,0.663,0.262,1.412,4.65,13.75,4.62,14.1,0.99,91667.8,148.92,82,38,31,365,1/2/1990,1/2/1991
AL99,Annual,1991,62,100,60,97,0.083,0.026,0.035,0.169,0.22,0.727,0.285,1.458,4.67,13.93,4.63,14.8,0.96,51006.5,129.08,46,26,21,363,1/2/1991,12/31/1991
AL99,Annual,1992,79,100,80,99,0.056,0.013,0.02,0.076,0.223,0.809,0.138,1.67,4.52,16.9,4.5,16.7,0.97,73144.1,136.66,79,35,32,364,12/31/1991,12/29/1992
AL99,Annual,1993,81,100,80,96,0.073,0.018,0.022,0.117,0.266,1.005,0.199,1.902,4.48,18.86,4.45,17.3,0.96,53885.5,102.32,61,38,27,371,12/29/1992,1/4/1994
AL99,Annual,1994,81,100,89,99,0.078,0.02,0.025,0.141,0.222,0.748,0.236,1.36,4.63,14.36,4.72,16.7,1.02,91281.6,153.14,75,38,28,364,1/4/1994,1/3/1995
AL99,Annual,1995,83,100,93,99,0.062,0.016,0.029,0.105,0.232,0.766,0.158,1.174,4.67,12.78,4.61,13.3,1.06,86288.1,139.18,52,38,22,364,1/3/1995,1/2/1996
AL99,Annual,1996,81,100,90,98,0.096,0.022,0.024,0.157,0.286,0.945,0.252,1.612,4.56,16.99,4.7,11.9,1.03,87105.5,145.68,75,39,31,364,1/2/1996,12/31/1996
AL99,Annual,1997,92,100,96,98,0.075,0.019,0.035,0.119,0.259,0.875,0.21,1.534,4.59,15.76,4.7,13.9,0.99,102061.8,159.72,80,45,37,364,12/31/1996,12/30/1997
AL99,Annual,1998,81,100,90,97,0.097,0.019,0.03,0.101,0.273,0.781,0.187,1.249,4.74,12.38,4.72,11.5,1.03,74494.2,126.12,70,32,26,364,12/30/1997,12/29/1998
AL99,Annual,1999,81,100,87,99,0.092,0.023,0.029,0.131,0.248,0.913,0.224,1.489,4.6,15.57,4.59,14.9,0.99,76945.2,131.13,70,37,28,364,12/29/1998,12/28/1999
AL99,Annual,2000,87,100,92,99,0.095,0.025,0.029,0.166,0.266,0.921,0.276,1.524,4.62,15.62,4.54,16.3,0.99,65082.4,104.91,58,38,27,371,12/28/1999,1/2/2001
AL99,Annual,2001,90,100,94,99,0.066,0.017,0.042,0.097,0.246,0.73,0.171,1.126,4.8,11.57,4.82,11.3,0.99,82467.1,131.23,63,37,24,364,1/2/2001,1/1/2002
AL99,Annual,2002,81,100,85,99,0.083,0.019,0.044,0.092,0.244,0.838,0.169,1.356,4.68,14.09,4.65,14.2,0.97,82629,145.92,78,40,34,364,1/1/2002,12/31/2002
AL99,Annual,2003,75,100,71,101,0.092,0.018,0.028,0.104,0.275,0.791,0.188,1.283,4.75,12.68,4.64,12.9,0.99,71541.9,148.41,63,37,34,364,12/31/2002,12/30/2003
AL99,Annual,2004,79,100,84,102,0.054,0.013,0.019,0.085,0.182,0.55,0.152,1.032,4.77,11.03,4.31,23.7,1.02,96372.1,167.18,4,35,3,364,12/30/2003,12/28/2004
AL99,Annual,2005,89,100,91,101,0.1,0.023,0.07,0.111,0.351,0.796,0.209,1.547,4.69,14.72,-9,-9,1.05,76605.9,122.06,0,39,0,371,12/28/2004,1/3/2006
AL99,Annual,2006,83,100,85,101,0.137,0.027,0.101,0.122,0.402,0.85,0.212,1.645,4.75,14.27,-9,-9,1.06,69509.4,119.53,0,34,0,364,1/3/2006,1/2/2007
